URL,Status
https://www.latimes.com/,200
https://www.latimes.com/seniorresources/story/2022-04-21/stay-local-and-check-out-three-socal-regional-getaways,200
https://www.latimes.com/seniorresources/story/2022-04-21/crossword-taking-it-in-stride,200
https://www.latimes.com/seniorresources/story/2021-09-30/brand-new-days-medicare-options-focus-on-senior-wellness-learning-enrichment,200
https://www.latimes.com/seniorresources/story/2021-09-30/choosing-a-healthy-smile,200
https://www.latimes.com/seniorresources/story/2021-09-30/go-out-be-safe-have-fun,200
https://www.latimes.com/seniorresources/story/2022-04-21/wellness-evolved-care-provider-optum-looks-beyond-pandemic-and-towards-an-advanced-personal-health-model,200
https://www.latimes.com/seniorresources/story/2021-11-19/memorialcares-extensive-health-system-is-accessible-for-all-of-southern-california,200
https://www.latimes.com/seniorresources/story/2021-11-19/a-powerful-partnership-providence-southern-california-is-perfectly-paired-with-a-medicare-advantage-plan,200
https://www.latimes.com/seniorresources/story/2021-11-19/looking-for-a-medicare-advantage-plan-scan-health-plan-is-here-to-help,200
https://www.latimes.com/seniorresources/story/2021-11-19/women-dont-delay-your-health-screenings,200
https://www.latimes.com/seniorresources/story/2022-04-21/pets-can-help-keep-you-well-and-you-can-return-the-favor,200
https://www.latimes.com/seniorresources/story/2021-09-30/staying-healthy-in-a-sometimes-unhealthy-world,200
https://www.latimes.com/seniorresources/story/2022-04-21/meal-plan-without-a-plan-buy-healthy-ingredients-and-always-be-ready-to-cook,200
https://www.latimes.com/seniorresources/story/2022-04-21/using-modern-tech-enhanced-equipment-you-can-work-out-conveniently-and-safely,200
https://www.latimes.com/seniorresources/story/2021-09-30/a-medicare-advantage-plan-for-21st-century-medicine,200
https://www.latimes.com/seniorresources/story/2021-09-30/rest-relaxation-and-renewal-three-rs-are-a-foundation-for-better-physical-and-mental-health,200
https://www.latimes.com/seniorresources/story/2021-09-30/care-for-the-whole-person-patients-find-coordinated-care-optums-focus,200
https://www.latimes.com/seniorresources/story/2022-04-21/dental-implants-can-have-a-huge-impact-for-glenn-and-debbie-they-were-a-dream-come-true,200
https://www.latimes.com/seniorresources/story/2021-09-30/end-of-life-issues-are-difficult-enough-legal-representation-ensures-they-arent-worse,200
https://www.latimes.com/seniorresources/story/2021-09-30/stretch-4-simple-movement-improvers,200
https://www.latimes.com/seniorresources/story/2021-11-19/california-health-experts-recommend-all-adults-receive-a-covid-19-vaccine-booster,200
https://www.latimes.com/seniorresources/story/2021-09-30/you-time-is-imperative-whether-its-about-relaxation-or-for-your-health,200
https://www.latimes.com/seniorresources/story/2022-04-22/the-doctor-will-see-you-now-in-your-own-home,200
